"REF_DATE","GEO","DGUID","Prices","Activities","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1987-07","Canada","2016A000011124","2012 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","918","","","","0"
"1987-07","Canada","2016A000011124","2012 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","729","","","","0"
"1987-07","Canada","2016A000011124","2012 constant prices","Other industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400175","1.2.7.1","1106","","","","0"
"1987-10","Canada","2016A000011124","Current prices","Tourism gross domestic product (GDP)","Unadjusted","Dollars","81","millions","6","v29788932","1.1.1.2","2482","","","","0"
"1987-10","Canada","2016A000011124","Current prices","Tourism gross domestic product (GDP)","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400162","1.1.1.1","2865","","","","0"
"1987-10","Canada","2016A000011124","Current prices","Total tourism industries","Unadjusted","Dollars","81","millions","6","v29788933","1.1.2.2","1920","","","","0"
"1987-10","Canada","2016A000011124","Current prices","Total tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400163","1.1.2.1","2249","","","","0"
"1987-10","Canada","2016A000011124","Current prices","Transportation","Unadjusted","Dollars","81","millions","6","v29788934","1.1.3.2","766","","","","0"
"1987-10","Canada","2016A000011124","Current prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400164","1.1.3.1","812","","","","0"
"1987-10","Canada","2016A000011124","Current prices","Accommodation","Unadjusted","Dollars","81","millions","6","v29788935","1.1.4.2","555","","","","0"
"1987-10","Canada","2016A000011124","Current prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400165","1.1.4.1","722","","","","0"
"1987-10","Canada","2016A000011124","Current prices","Food and beverage services","Unadjusted","Dollars","81","millions","6","v29788936","1.1.5.2","352","","","","0"
"1987-10","Canada","2016A000011124","Current prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400166","1.1.5.1","373","","","","0"
"1987-10","Canada","2016A000011124","Current prices","Other tourism industries","Unadjusted","Dollars","81","millions","6","v29788937","1.1.6.2","247","","","","0"
"1987-10","Canada","2016A000011124","Current prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400167","1.1.6.1","343","","","","0"
"1987-10","Canada","2016A000011124","Current prices","Other industries","Unadjusted","Dollars","81","millions","6","v29788938","1.1.7.2","562","","","","0"
"1987-10","Canada","2016A000011124","Current prices","Other industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400168","1.1.7.1","615","","","","0"
"1987-10","Canada","2016A000011124","2012 constant prices","Tourism gross domestic product (GDP)","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","5481","","","","0"
"1987-10","Canada","2016A000011124","2012 constant prices","Total tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400170","1.2.2.1","4351","","","","0"
"1987-10","Canada","2016A000011124","2012 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","1480","","","","0"
"1987-10","Canada","2016A000011124","2012 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","1224","","","","0"
"1987-10","Canada","2016A000011124","2012 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","918","","","","0"
"1987-10","Canada","2016A000011124","2012 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","729","","","","0"
"1987-10","Canada","2016A000011124","2012 constant prices","Other industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400175","1.2.7.1","1130","","","","0"
"1988-01","Canada","2016A000011124","Current prices","Tourism gross domestic product (GDP)","Unadjusted","Dollars","81","millions","6","v29788932","1.1.1.2","2377","","","","0"
"1988-01","Canada","2016A000011124","Current prices","Tourism gross domestic product (GDP)","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400162","1.1.1.1","2991","","","","0"
"1988-01","Canada","2016A000011124","Current prices","Total tourism industries","Unadjusted","Dollars","81","millions","6","v29788933","1.1.2.2","1923","","","","0"
