"REF_DATE","GEO","DGUID","Type of reserve","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1954-04","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","800","","","","0"
"1954-04","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1022","","","","0"
"1954-04","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1954-05","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1909","","","","0"
"1954-05","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","807","","","","0"
"1954-05","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1027","","","","0"
"1954-05","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1954-06","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1950","","","","0"
"1954-06","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","842","","","","0"
"1954-06","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1034","","","","0"
"1954-06","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1954-07","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1982","","","","0"
"1954-07","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","867","","","","0"
"1954-07","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1040","","","","0"
"1954-07","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1954-08","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1992","","","","0"
"1954-08","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","871","","","","0"
"1954-08","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1046","","","","0"
"1954-08","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1954-09","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1986","","","","0"
"1954-09","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","859","","","","0"
"1954-09","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1053","","","","0"
"1954-09","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1954-10","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1991","","","","0"
"1954-10","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","856","","","","0"
"1954-10","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1059","","","","0"
"1954-10","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1954-11","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","2011","","","","0"
"1954-11","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","870","","","","0"
"1954-11","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1066","","","","0"
"1954-11","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1954-12","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","2025","","","","0"
"1954-12","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","878","","","","0"
"1954-12","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1073","","","","0"
"1954-12","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1955-01","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","2017","","","","0"
"1955-01","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","864","","","","0"
"1955-01","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1078","","","","0"
"1955-01","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1955-02","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1923","","","","0"
"1955-02","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","768","","","","0"
"1955-02","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1080","","","","0"
"1955-02","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
