"REF_DATE","GEO","DGUID","Receipts, payments and balances","Current account and capital account","Countries or regions","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Canada","2016A000011124","Receipts","Commercial services","All other countries","Dollars","81","millions","6","v61914373","1.1.9.8","1159","","","","0"
"1981","Canada","2016A000011124","Receipts","Government services","All countries","Dollars","81","millions","6","v61914374","1.1.10.1","552","","","","0"
"1981","Canada","2016A000011124","Receipts","Government services","United States","Dollars","81","millions","6","v61914375","1.1.10.2","168","","","","0"
"1981","Canada","2016A000011124","Receipts","Government services","United Kingdom","Dollars","81","millions","6","v61914376","1.1.10.3","18","","","","0"
"1981","Canada","2016A000011124","Receipts","Government services","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914377","1.1.10.4","366","","","","0"
"1981","Canada","2016A000011124","Receipts","Government services","Other European Union countries","Dollars","81","millions","6","v61914378","1.1.10.5","43","","","","0"
"1981","Canada","2016A000011124","Receipts","Government services","Japan","Dollars","81","millions","6","v61914379","1.1.10.6","8","","","","0"
"1981","Canada","2016A000011124","Receipts","Government services","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914380","1.1.10.7","20","","","","0"
"1981","Canada","2016A000011124","Receipts","Government services","All other countries","Dollars","81","millions","6","v61914381","1.1.10.8","296","","","","0"
"1981","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","11500","","","","0"
"1981","Canada","2016A000011124","Receipts","Primary income","United States","Dollars","81","millions","6","v61914383","1.1.11.2","5642","","","","0"
"1981","Canada","2016A000011124","Receipts","Primary income","United Kingdom","Dollars","81","millions","6","v61914384","1.1.11.3","1914","","","","0"
"1981","Canada","2016A000011124","Receipts","Primary income","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914385","1.1.11.4","3943","","","","0"
"1981","Canada","2016A000011124","Receipts","Primary income","Other European Union countries","Dollars","81","millions","6","v61914386","1.1.11.5","-911","","","","0"
"1981","Canada","2016A000011124","Receipts","Primary income","Japan","Dollars","81","millions","6","v61914387","1.1.11.6","3","","","","0"
"1981","Canada","2016A000011124","Receipts","Primary income","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914388","1.1.11.7","468","","","","0"
"1981","Canada","2016A000011124","Receipts","Primary income","All other countries","Dollars","81","millions","6","v61914389","1.1.11.8","4384","","","","0"
"1981","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","331","","","","0"
"1981","Canada","2016A000011124","Receipts","Compensation of employees","United States","Dollars","81","millions","6","v61914391","1.1.12.2","167","","","","0"
"1981","Canada","2016A000011124","Receipts","Compensation of employees","United Kingdom","Dollars","81","millions","6","v61914392","1.1.12.3","14","","","","0"
"1981","Canada","2016A000011124","Receipts","Compensation of employees","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914393","1.1.12.4","150","","","","0"
"1981","Canada","2016A000011124","Receipts","Compensation of employees","Other European Union countries","Dollars","81","millions","6","v61914394","1.1.12.5","22","","","","0"
"1981","Canada","2016A000011124","Receipts","Compensation of employees","Japan","Dollars","81","millions","6","v61914395","1.1.12.6","12","","","","0"
"1981","Canada","2016A000011124","Receipts","Compensation of employees","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914396","1.1.12.7","27","","","","0"
"1981","Canada","2016A000011124","Receipts","Compensation of employees","All other countries","Dollars","81","millions","6","v61914397","1.1.12.8","89","","","","0"
"1981","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","11169","","","","0"
"1981","Canada","2016A000011124","Receipts","Investment income","United States","Dollars","81","millions","6","v61914399","1.1.13.2","5475","","","","0"
"1981","Canada","2016A000011124","Receipts","Investment income","United Kingdom","Dollars","81","millions","6","v61914400","1.1.13.3","1900","","","","0"
"1981","Canada","2016A000011124","Receipts","Investment income","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914401","1.1.13.4","3793","","","","0"
"1981","Canada","2016A000011124","Receipts","Investment income","Other European Union countries","Dollars","81","millions","6","v61914402","1.1.13.5","-934","","","","0"
